"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2024";"0000";"18,5";"19,1";"18,5";"91,0";"91,0";"91,0";"17,0";"17,5";"17,0";"880,7";"881,0";"880,7";"10,8";"135,0";"15,7";"0,10";"0,0"
"01/01/2024";"0100";"18,4";"18,5";"18,4";"91,0";"91,0";"91,0";"16,9";"16,9";"16,9";"881,3";"881,3";"880,6";"9,8";"129,0";"15,5";"";"0,0"
"01/01/2024";"0200";"18,2";"18,4";"18,2";"91,0";"91,0";"91,0";"16,7";"16,9";"16,7";"881,6";"881,7";"881,3";"10,5";"125,0";"13,8";"";"0,0"
"01/01/2024";"0300";"18,1";"18,2";"18,1";"91,0";"91,0";"91,0";"16,6";"16,7";"16,6";"881,6";"881,8";"881,4";"7,5";"124,0";"13,3";"";"0,0"
"01/01/2024";"0400";"18,1";"18,1";"18,0";"91,0";"91,0";"91,0";"16,6";"16,6";"16,5";"881,5";"881,7";"881,5";"4,6";"135,0";"9,9";"";"0,4"
"01/01/2024";"0500";"18,3";"18,3";"18,0";"91,0";"91,0";"91,0";"16,8";"16,8";"16,5";"881,3";"881,5";"881,3";"3,5";"143,0";"7,9";"";"0,0"
"01/01/2024";"0600";"17,9";"18,3";"17,9";"91,0";"91,0";"91,0";"16,4";"16,8";"16,4";"880,4";"881,3";"880,4";"7,4";"127,0";"9,4";"0,10";"1,6"
"01/01/2024";"0700";"17,2";"17,9";"17,2";"91,0";"91,0";"91,0";"15,8";"16,4";"15,8";"880,1";"880,4";"880,1";"9,9";"122,0";"14,1";"0,30";"1,4"
"01/01/2024";"0800";"17,1";"17,2";"17,1";"91,0";"91,0";"91,0";"15,7";"15,8";"15,7";"880,3";"880,3";"880,1";"9,1";"133,0";"14,3";"";"0,4"
"01/01/2024";"0900";"17,2";"17,2";"17,1";"91,0";"91,0";"91,0";"15,8";"15,8";"15,6";"881,0";"881,0";"880,3";"7,2";"133,0";"11,9";"12,60";"0,2"
"01/01/2024";"1000";"17,5";"17,5";"17,2";"91,0";"91,0";"91,0";"16,1";"16,1";"15,8";"881,4";"881,5";"880,9";"6,1";"124,0";"10,2";"121,10";"0,4"
"01/01/2024";"1100";"18,2";"18,2";"17,5";"91,0";"91,0";"91,0";"16,7";"16,7";"16,0";"881,6";"881,6";"881,2";"7,1";"125,0";"10,6";"418,60";"0,0"
"01/01/2024";"1200";"18,8";"18,9";"18,1";"91,0";"91,0";"91,0";"17,3";"17,4";"16,7";"882,0";"882,0";"881,6";"7,1";"118,0";"10,1";"897,20";"0,0"
"01/01/2024";"1300";"19,8";"19,8";"18,7";"89,0";"91,0";"89,0";"18,0";"18,0";"17,3";"882,1";"882,1";"882,0";"6,0";"107,0";"9,4";"946,20";"0,0"
"01/01/2024";"1400";"20,5";"20,5";"19,4";"85,0";"89,0";"85,0";"17,8";"18,1";"17,2";"881,9";"882,2";"881,9";"6,9";"116,0";"9,2";"1285,20";"0,0"
"01/01/2024";"1500";"20,2";"21,0";"19,2";"85,0";"88,0";"81,0";"17,6";"18,4";"16,8";"881,4";"881,9";"881,4";"6,3";"113,0";"9,2";"1241,00";"0,0"
"01/01/2024";"1600";"20,2";"20,9";"20,2";"85,0";"87,0";"83,0";"17,6";"18,6";"17,4";"881,1";"881,4";"881,1";"5,5";"110,0";"9,3";"1480,20";"0,0"
"01/01/2024";"1700";"20,1";"20,2";"19,2";"89,0";"90,0";"85,0";"18,3";"18,3";"17,1";"880,3";"881,1";"880,3";"6,5";"114,0";"8,5";"1065,90";"0,4"
"01/01/2024";"1800";"19,0";"20,3";"19,0";"89,0";"89,0";"88,0";"17,1";"18,5";"17,1";"879,8";"880,3";"879,8";"7,7";"111,0";"10,8";"1126,40";"0,0"
"01/01/2024";"1900";"18,5";"19,1";"18,5";"90,0";"90,0";"89,0";"16,7";"17,2";"16,7";"879,7";"879,8";"879,4";"7,6";"109,0";"11,6";"412,20";"0,4"
"01/01/2024";"2000";"18,2";"18,5";"18,2";"90,0";"90,0";"90,0";"16,6";"16,7";"16,6";"880,1";"880,2";"879,7";"4,7";"100,0";"10,8";"174,90";"2,6"
"01/01/2024";"2100";"17,8";"18,2";"17,8";"91,0";"91,0";"90,0";"16,2";"16,6";"16,2";"880,2";"880,2";"880,0";"6,9";"97,0";"11,6";"69,90";"3,2"
"01/01/2024";"2200";"17,6";"17,8";"17,6";"91,0";"91,0";"91,0";"16,1";"16,2";"16,1";"880,6";"880,7";"880,2";"6,5";"103,0";"10,4";"13,60";"0,6"
"01/01/2024";"2300";"17,5";"17,6";"17,5";"91,0";"91,0";"91,0";"16,0";"16,1";"16,0";"880,1";"880,6";"880,1";"9,3";"118,0";"11,6";"";"0,2"
"02/01/2024";"0000";"17,6";"17,6";"17,5";"91,0";"91,0";"91,0";"16,2";"16,2";"16,0";"880,7";"880,8";"880,1";"9,5";"115,0";"12,0";"";"0,0"
"02/01/2024";"0100";"17,6";"17,7";"17,6";"91,0";"91,0";"91,0";"16,2";"16,3";"16,2";"881,0";"881,0";"880,7";"10,2";"116,0";"14,0";"";"0,2"
"02/01/2024";"0200";"17,6";"17,6";"17,5";"91,0";"91,0";"91,0";"16,1";"16,2";"16,1";"880,9";"881,1";"880,9";"10,2";"119,0";"14,3";"";"0,0"
"02/01/2024";"0300";"17,5";"17,6";"17,5";"91,0";"91,0";"91,0";"16,0";"16,2";"16,0";"880,7";"881,0";"880,6";"9,4";"118,0";"13,8";"";"0,0"
"02/01/2024";"0400";"17,5";"17,5";"17,5";"91,0";"91,0";"91,0";"16,1";"16,1";"16,0";"880,4";"880,7";"880,2";"8,8";"119,0";"13,8";"";"0,0"
"02/01/2024";"0500";"17,5";"17,6";"17,5";"91,0";"91,0";"91,0";"16,0";"16,1";"16,0";"879,7";"880,4";"879,7";"8,8";"103,0";"13,2";"";"0,2"
"02/01/2024";"0600";"17,5";"17,5";"17,5";"91,0";"91,0";"91,0";"16,1";"16,1";"16,0";"879,8";"879,9";"879,7";"6,7";"116,0";"12,2";"";"0,2"
"02/01/2024";"0700";"17,5";"17,5";"17,5";"91,0";"91,0";"91,0";"16,1";"16,1";"16,1";"879,7";"879,8";"879,6";"7,4";"110,0";"11,2";"0,10";"0,0"
"02/01/2024";"0800";"17,6";"17,6";"17,5";"91,0";"91,0";"91,0";"16,1";"16,1";"16,1";"879,9";"879,9";"879,7";"8,0";"114,0";"11,9";"";"0,0"
"02/01/2024";"0900";"17,7";"17,7";"17,6";"91,0";"91,0";"91,0";"16,2";"16,2";"16,1";"880,3";"880,4";"879,9";"8,9";"114,0";"12,4";"30,90";"0,2"
"02/01/2024";"1000";"18,2";"18,2";"17,7";"91,0";"91,0";"91,0";"16,7";"16,7";"16,2";"880,6";"880,6";"880,3";"7,3";"110,0";"11,9";"301,40";"0,0"
"02/01/2024";"1100";"19,1";"19,1";"18,2";"89,0";"91,0";"89,0";"17,3";"17,4";"16,8";"881,1";"881,1";"880,5";"5,7";"101,0";"11,7";"759,30";"0,0"
"02/01/2024";"1200";"20,7";"20,7";"19,0";"84,0";"89,0";"84,0";"18,0";"18,2";"17,1";"881,3";"881,3";"881,1";"3,5";"88,0";"8,3";"981,50";"0,0"
"02/01/2024";"1300";"20,5";"22,1";"20,4";"85,0";"86,0";"81,0";"17,8";"19,4";"17,6";"881,2";"881,3";"881,1";"4,1";"91,0";"7,0";"1278,50";"0,0"
"02/01/2024";"1400";"21,9";"23,0";"20,5";"79,0";"86,0";"76,0";"18,1";"19,2";"17,6";"881,0";"881,2";"881,0";"3,8";"98,0";"7,3";"1730,00";"0,0"
"02/01/2024";"1500";"22,9";"23,0";"21,6";"74,0";"80,0";"74,0";"18,0";"18,6";"17,6";"880,6";"881,0";"880,6";"2,8";"96,0";"6,2";"1312,30";"0,0"
"02/01/2024";"1600";"21,5";"23,0";"20,9";"78,0";"85,0";"73,0";"17,4";"18,8";"17,2";"879,9";"880,6";"879,9";"1,8";"48,0";"5,0";"1036,80";"0,2"
